,FR,DE,EN,Unnamed: 3,answer,de,en,date_moved,date_created,category,box
14,être sur le does de quelqu’un,"jm. im Nacken sitzen, jm. Kontrollieren",breath down so. Neck ,,être sur le does de quelqu’un,"jm. im Nacken sitzen, jm. Kontrollieren",breath down so. Neck ,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
15,avoir un oeil sur quelqu’un / quelque chose,ein Auge auf jm. / etwas haben,having an eye on so. sth.,,avoir un oeil sur quelqu’un / quelque chose,ein Auge auf jm. / etwas haben,having an eye on so. sth.,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
16,respire en bas de cou de quelqu’un,"jm. im Nacken sitzen, jm. Kontrollieren",breath down so. Neck ,,respire en bas de cou de quelqu’un,"jm. im Nacken sitzen, jm. Kontrollieren",breath down so. Neck ,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
17,décompter,runterzählen,count down,,décompter,runterzählen,count down,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
18,à atterir,landen,to land,,à atterir,landen,to land,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
19,une tribu remuante,"ein unruhiger Stamm, eine vielköpfige Familie",a restless tribe,,une tribu remuante,"ein unruhiger Stamm, eine vielköpfige Familie",a restless tribe,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
20,à veiller,"beobachten, aufpassen","observe, watch after",,à veiller,"beobachten, aufpassen","observe, watch after",2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
21,une tribu,ein Stamm,a tribe,,une tribu,ein Stamm,a tribe,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
22,petit gamin,kleines Kind,,,petit gamin,kleines Kind,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
23,le gag ,"der Gag, Zeichnung im Comic",,,le gag ,"der Gag, Zeichnung im Comic",,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
24,la bille,die Murmel,,,la bille,die Murmel,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
25,mordre,beißen,,,mordre,beißen,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
26,mettre un élève au piquer,eine Schüler in de Ecke stellen,,,mettre un élève au piquer,eine Schüler in de Ecke stellen,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
27,se méfier,sich in acht nehmen,,,se méfier,sich in acht nehmen,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
28,le chouchou,der Liebling (dans le launge des enfants),,,le chouchou,der Liebling (dans le launge des enfants),,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
29,vexé,"ärgern, beleidigen",,,vexé,"ärgern, beleidigen",,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
30,la récréation (à l’école),die (Schul-)Pause,,,la récréation (à l’école),die (Schul-)Pause,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
31,drôlement chouette,sehr sympathisch (umgs.),,,drôlement chouette,sehr sympathisch (umgs.),,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
32,un guignol,"ein Kasper, Klassenkasper, Clown",,,un guignol,"ein Kasper, Klassenkasper, Clown",,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
33,ca n’a pas raté,wie zu erwarten,,,ca n’a pas raté,wie zu erwarten,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
34,se débrouiller,durchhalten zurechtkommen,,,se débrouiller,durchhalten zurechtkommen,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
35,costaud (adj.),kräftig,,,costaud (adj.),kräftig,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
36,le costaud,der Kraftprotz,,,le costaud,der Kraftprotz,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
37,des gros mots,die Schimpfworte,,,des gros mots,die Schimpfworte,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
38,un menteur,ein Lügner,,,un menteur,ein Lügner,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
39,mal élevé,schlecht erzogen,,,mal élevé,schlecht erzogen,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
40,rester en retenue,zum Nachsitzen bleiben,,,rester en retenue,zum Nachsitzen bleiben,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
41,un cafard,eine Petze,,,un cafard,eine Petze,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
42,bègue (adj.),stotternd,,,bègue (adj.),stotternd,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
43,être bègue,stottern,,,être bègue,stottern,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
44,le/la bègue,der Stotterer,,,le/la bègue,der Stotterer,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
45,l’uniforme (m),die Uniform,,,l’uniforme (m),die Uniform,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
46,le tableau noir,die Tafel,,,le tableau noir,die Tafel,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
47,les devoirs,die Hausaufgaben,,,les devoirs,die Hausaufgaben,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
48,la feuille,das Blatt,,,la feuille,das Blatt,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
49,la cartable,der Schulranzen,,,la cartable,der Schulranzen,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
50,le tablier,die Schürze,,,le tablier,die Schürze,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
51,le cahier,das Heft,,,le cahier,das Heft,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
52,l’élève,der Schüler,,,l’élève,der Schüler,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
53,l’instituteur (m),der Grundschullehrer,,,l’instituteur (m),der Grundschullehrer,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
54,le directeur,der Direktor ,,,le directeur,der Direktor ,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
55,la récréation,die Pause,,,la récréation,die Pause,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
56,le crayon,der Bleistift,,,le crayon,der Bleistift,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
57,le stylo à bille,der Kugelschreiber,,,le stylo à bille,der Kugelschreiber,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
58,la craie,die Kreide,,,la craie,die Kreide,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
59,Tois-toi!,Halt den Mund!,,,Tois-toi!,Halt den Mund!,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
60,se fâcher,wütend werden,,,se fâcher,wütend werden,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
61,tort,falsch,,,tort,falsch,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
62,avoir honte,sich schämen,,,avoir honte,sich schämen,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
63,affreux,"schrecklich, furchtbar",,,affreux,"schrecklich, furchtbar",,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
